candidate,time_x_distance:midday / 5-8,time_x_distance:morning / 5-8,time_x_direction:midday / UP,factor_x_distance:EQHL / 5-8,volatility_x_distance:normal_vol / 5-8,time_bucket:midday
time_x_distance:midday / 5-8,1.0,-0.08765778346423374,0.9217973984864247,0.2278768455163803,0.07829004328042427,0.899419316954499
time_x_distance:morning / 5-8,-0.08765778346423374,1.0,-0.07356565274192785,0.372354327509782,0.6580768955701816,-0.054176703600372675
time_x_direction:midday / UP,0.9217973984864247,-0.07356565274192785,1.0,0.20228744811692276,0.06398971707010224,0.9731308760161593
factor_x_distance:EQHL / 5-8,0.2278768455163803,0.372354327509782,0.20228744811692276,1.0,0.8294219844677602,0.2016522223861145
volatility_x_distance:normal_vol / 5-8,0.07829004328042427,0.6580768955701816,0.06398971707010224,0.8294219844677602,1.0,0.07227074204015803
time_bucket:midday,0.899419316954499,-0.054176703600372675,0.9731308760161593,0.2016522223861145,0.07227074204015803,1.0
