label,n,win_rate,mean_r,median_r,profit_factor,max_drawdown_r,trade_sharpe,dsr,kind,actual_vs_shuffle_p_value
actual_long_ex_banking_it,434,0.5737327188940092,0.36524196100733464,0.4589410738772948,1.9080971958837156,-35.45127157960751,0.2792091116935999,0.0,actual,0.0
actual_long_all_sectors,526,0.5665399239543726,0.3211524760413939,0.42831664283056914,1.791429652938435,-35.024236146707295,0.24908128787805853,0.0,sector_control,0.0
actual_banking_it_long_control,92,0.532608695652174,0.11316512304989088,0.043984755210755885,1.2677290059150759,-15.755325002737623,0.09579464891687327,6.331381867126621e-194,negative_control,0.0
actual_short_all_sectors_control,44,0.29545454545454547,-0.5455137871390383,-1.2272002432659275,0.38484739441658616,-29.696470234838777,-0.4332001222684236,3.0383869185749867e-72,negative_control,0.0
shuffled_direction_001,434,0.511520737327189,0.21282949113700836,0.20333038346305696,1.4487880127381658,-36.08731240813064,0.1605799496659806,0.0,shuffled_direction_null,0.0
shuffled_direction_002,434,0.5161290322580645,0.2244897561519989,0.3144698435810004,1.4716553772627448,-39.100558711812994,0.16843006313536263,0.0,shuffled_direction_null,0.0
shuffled_direction_003,434,0.5276497695852534,0.248443335847376,0.34014483635409376,1.5326208407678072,-35.03856322172862,0.18607694581201722,0.0,shuffled_direction_null,0.0
shuffled_direction_004,434,0.5368663594470046,0.2565369864499339,0.42869539944297474,1.5629902260103081,-28.97702076083741,0.19470771684744423,0.0,shuffled_direction_null,0.0
shuffled_direction_005,434,0.5069124423963134,0.19662991250765766,0.20290175500213023,1.4160879281316205,-30.444157874136295,0.15150468251760826,0.0,shuffled_direction_null,0.0
shuffled_direction_006,434,0.5276497695852534,0.2430560789124587,0.381201715789953,1.5327759769188913,-29.044007678990504,0.1850116509581073,0.0,shuffled_direction_null,0.0
shuffled_direction_007,434,0.5069124423963134,0.2300367796026779,0.15570224574449698,1.4988348153005209,-29.37219501738711,0.17461166114377782,0.0,shuffled_direction_null,0.0
shuffled_direction_008,434,0.5207373271889401,0.2522618415209548,0.34014483635409376,1.545036630743472,-26.710106857325474,0.18947573488582262,0.0,shuffled_direction_null,0.0
shuffled_direction_009,434,0.5092165898617511,0.17236904818119445,0.20333038346305696,1.3490234808440735,-45.67538364938231,0.13121006329832505,0.0,shuffled_direction_null,0.0
shuffled_direction_010,434,0.5069124423963134,0.2106016995500944,0.20252779872675553,1.4427428619881797,-32.114667884379514,0.15922767838477964,0.0,shuffled_direction_null,0.0
shuffled_direction_011,434,0.5207373271889401,0.21877279587903253,0.4231111650768441,1.4584791591799577,-32.91204638981212,0.16537047701522967,0.0,shuffled_direction_null,0.0
shuffled_direction_012,434,0.4861751152073733,0.16382676824433284,-0.014271534796859074,1.3283656493298248,-38.464847403758675,0.12375910401339998,0.0,shuffled_direction_null,0.0
shuffled_direction_013,434,0.5345622119815668,0.259873178186567,0.42831664283056914,1.5676650795127525,-29.652989104506972,0.1967615262628011,0.0,shuffled_direction_null,0.0
shuffled_direction_014,434,0.5,0.1819556662685614,0.025137678500387856,1.3740358570246127,-30.381268887560978,0.13814231136746152,0.0,shuffled_direction_null,0.0
shuffled_direction_015,434,0.5138248847926268,0.2075888506993928,0.20370433973843166,1.4438429113290263,-37.49287511881776,0.15892104163149803,0.0,shuffled_direction_null,0.0
shuffled_direction_016,434,0.5046082949308756,0.19813706963234778,0.10248709771727962,1.4070690765136282,-34.60043709029552,0.14828039992043535,0.0,shuffled_direction_null,0.0
shuffled_direction_017,434,0.5138248847926268,0.2188350695826386,0.20654146153106895,1.4625392915367437,-33.83467353975291,0.16539630437899044,0.0,shuffled_direction_null,0.0
shuffled_direction_018,434,0.5207373271889401,0.23084439280057953,0.272335302043731,1.4840860301934222,-34.90700986944718,0.17238518167753059,0.0,shuffled_direction_null,0.0
shuffled_direction_019,434,0.5092165898617511,0.19257373730921193,0.20333038346305696,1.3975430969057228,-33.36770975125184,0.1454051884922037,0.0,shuffled_direction_null,0.0
shuffled_direction_020,434,0.5184331797235023,0.21695041097798345,0.33837866463757593,1.4528473968883728,-28.547124899420893,0.16294448792217225,0.0,shuffled_direction_null,0.0
shuffled_direction_021,434,0.5230414746543779,0.24623626999107254,0.4231111650768441,1.5412408627211007,-34.530239060839776,0.18763706619701526,0.0,shuffled_direction_null,0.0
shuffled_direction_022,434,0.5069124423963134,0.1777600253057915,0.20333038346305696,1.3620856760333895,-33.22530833023315,0.13470435948583503,0.0,shuffled_direction_null,0.0
shuffled_direction_023,434,0.5207373271889401,0.2335952492379785,0.33837866463757593,1.5094801051933582,-32.6836297310502,0.1781916237422291,0.0,shuffled_direction_null,0.0
shuffled_direction_024,434,0.5023041474654378,0.19440509333949296,0.10248709771727962,1.4041196498430462,-37.77623965882356,0.14733651454528432,0.0,shuffled_direction_null,0.0
shuffled_direction_025,434,0.5161290322580645,0.23844635550127097,0.20654146153106895,1.5159958271517386,-36.155012513434585,0.18004884166294932,0.0,shuffled_direction_null,0.0
shuffled_direction_026,434,0.5046082949308756,0.1964279779349557,0.10248709771727962,1.4034513295719846,-33.3431830312914,0.14683540324552993,0.0,shuffled_direction_null,0.0
shuffled_direction_027,434,0.5276497695852534,0.2462602522171326,0.38202985581018023,1.5419234978116674,-31.051877990482385,0.18753871583899787,0.0,shuffled_direction_null,0.0
shuffled_direction_028,434,0.532258064516129,0.24955158602229513,0.4257016890383043,1.5526308687904227,-26.368627953551215,0.19069006008741207,0.0,shuffled_direction_null,0.0
shuffled_direction_029,434,0.5069124423963134,0.1941755198027835,0.15616662291268527,1.4037449536349376,-27.434908023404414,0.14790826754414355,0.0,shuffled_direction_null,0.0
