segment,n,positives,base_rate,mean_p_dir,auc,brier,logloss,accuracy_50,top_quartile_accuracy,long_rows,short_rows,long_auc,short_auc
all proximity setup rows,2572441,1226209,0.4766713794407724,0.47143632491110876,0.6339554154674902,0.23811935780102916,0.6724686076380245,0.5944816615813541,0.707145225938145,666259,1906182,0.6499714910471049,0.6281812415934453
distance 2-8 ATR,180790,75684,0.4186293489684164,0.40311053172724465,0.7153340137958312,0.21368417751755547,0.6256441902224413,0.671309253830411,0.8180355515924554,83501,97289,0.7120503902610569,0.7098995706746789
distance 3-8 ATR,124632,53121,0.42622279992297324,0.4000899848654693,0.7106312634246453,0.21645509537088417,0.6316413685480435,0.66394665896399,0.8148767605633803,56860,67772,0.7071886446877929,0.7055851007392893
p_touch>=0.80 & distance 2-8 ATR,287,228,0.794425087108014,0.7090131803049599,0.7576196848052335,0.1532276834487253,0.45476607409265246,0.7526132404181185,0.987012987012987,245,42,0.7733918128654971,0.6533180778032036
p_touch>=0.85 & distance 2-8 ATR,173,139,0.8034682080924855,0.7122889917725136,0.7239737621667371,0.16104137450371445,0.4690044673447612,0.7052023121387283,1.0,148,25,0.7234848484848484,0.673076923076923
p_touch>=0.90 & distance 2-8 ATR,24,17,0.7083333333333334,0.705268886103203,0.7815126050420167,0.17804983811870737,0.5139728747585115,0.625,1.0,20,4,0.7866666666666667,1.0
p_touch>=0.85 & distance 3-8 ATR,137,116,0.8467153284671532,0.7207278036024568,0.6584564860426929,0.16359188480245823,0.4723597664044939,0.6861313868613139,1.0,122,15,0.6816199376947041,0.4444444444444444
p_touch>=0.85 & distance 5-8 ATR,58,49,0.8448275862068966,0.7156494883049838,0.608843537414966,0.16993092924301556,0.48558398509768674,0.6724137931034483,1.0,51,7,0.5944444444444444,0.5
p_touch<0.50 all distances,2555708,1215774,0.47570927508150385,0.47063163795205276,0.6331080317044964,0.2383212920955205,0.6729458449697466,0.5940393033945975,0.7062513266362569,655166,1900542,0.6476266468264621,0.6279679901806596
