cell_id,pocket_family,pocket_description,min_p_touch,min_p_direction,distance_low,distance_high,target_fraction,stop_atr_mult,max_hold_bars,n_trades,n_events,n_long,n_short,mean_r,median_r,win_rate,profit_factor,max_drawdown_r,trade_sharpe,dsr,dsr_pass,bonferroni_dsr_pass,mean_r_cost_1_25x,mean_r_cost_1_50x,cost_robust,first_half_n,second_half_n,first_half_mean_r,second_half_mean_r,temporal_stability_score,temporal_stable,unique_symbols,unique_sectors,sectors_with_positive_r,per_sector_n,per_sector_mean_r,mean_r_ci95_lower,target_exit_rate,stop_exit_rate,time_exit_rate,avg_bars_held,mean_p_touch,mean_p_direction,mean_q,economic_survivor,strict_survivor,reject_reason,max_overlap_other,max_overlap_cell,max_overlap_dedupe,max_overlap_dedupe_cell,dedupe_survivor,redundant_with
normal_vol_5_8_long|T0.85|D0.55|tf0.6|sl1.0|h60,normal_vol_5_8_long,"Long-only, normal volatility, distance 5-8 ATR",0.85,0.55,5.0,8.0,0.6,1.0,60,25,25,25,0,0.19737777030614312,-1.4372819220744462,0.44,1.2224290889178375,-6.517899581705937,0.09245623149425733,1.0693466110972197e-63,False,False,0.022374824221808264,-0.1526281218625264,False,13,12,0.17099009162493786,0.2259644222107822,0.7214765866386428,True,8,4,1,AUTO:15;FMCG:4;IT:2;PHARMA:4,AUTO:+1.169;FMCG:-1.601;IT:-1.429;PHARMA:-0.833,-0.6394731883532941,0.32,0.56,0.12,7.88,0.866519034375771,0.8400120596354916,0.4278737398112409,False,False,n<100; PF<=1.40; positive_sectors<3; cost1.5x<=0; mean_R_ci95_lower<=0,0.1810344827586207,base_5_8_long|T0.80|D0.70|tf1.0|sl1.5|h60,0.12994350282485875,normal_vol_5_8_long|T0.75|D0.65|tf1.0|sl1.5|h60,False,
base_5_8_long|T0.85|D0.55|tf0.8|sl2.0|h12,base_5_8_long,"Long-only, distance 5-8 ATR",0.85,0.55,5.0,8.0,0.8,2.0,12,50,50,50,0,0.19471432225733487,0.011499290369105714,0.58,1.6807238632279404,-4.03173170398145,0.19463643172364986,1.1055396490946904e-122,False,False,0.08944182365200751,-0.015830674953319898,False,23,27,0.0031151299916408496,0.3579284490021853,0.0,False,10,5,2,AUTO:25;BANKING:3;FMCG:4;IT:4;PHARMA:14,AUTO:+0.169;BANKING:+0.248;FMCG:-1.344;IT:-0.157;PHARMA:+0.770,-0.08258246152389603,0.08,0.1,0.82,11.76,0.8684869557750636,0.8050887679628929,0.4245670824289475,False,False,n<100; temporal_score<=0.70; positive_sectors<3; cost1.5x<=0; mean_R_ci95_lower<=0,0.3225806451612903,base_5_8_long|T0.80|D0.55|tf1.0|sl2.0|h60,0.1440329218106996,base_5_8_long|T0.75|D0.70|tf1.0|sl1.5|h60,False,
normal_vol_5_8_long|T0.75|D0.70|tf1.0|sl1.0|h12,normal_vol_5_8_long,"Long-only, normal volatility, distance 5-8 ATR",0.75,0.7,5.0,8.0,1.0,1.0,12,157,157,157,0,0.1925055053155328,-0.1819540950154737,0.4585987261146497,1.2744292690340893,-27.1534465871467,0.10393789042231925,0.0,False,False,0.04075826687753115,-0.11098897156047038,False,101,56,0.09477458999216479,0.36877019188089283,0.0,False,14,5,3,AUTO:87;BANKING:11;FMCG:16;IT:10;PHARMA:33,AUTO:+0.073;BANKING:+0.056;FMCG:-0.415;IT:-0.562;PHARMA:+1.076,-0.0972125099121548,0.03821656050955414,0.4140127388535032,0.5477707006369427,8.312101910828025,0.7948252622152683,0.8993774679907252,0.4330566364232281,False,False,PF<=1.40; temporal_score<=0.70; cost1.5x<=0; mean_R_ci95_lower<=0,1.0,normal_vol_5_8_long|T0.75|D0.70|tf0.8|sl1.5|h60,0.8971428571428571,normal_vol_5_8_long|T0.75|D0.65|tf1.0|sl1.5|h60,False,
morning_5_8_long|T0.80|D0.65|tf0.6|sl1.0|h12,morning_5_8_long,"Long-only, morning, distance 5-8 ATR",0.8,0.65,5.0,8.0,0.6,1.0,12,25,25,25,0,0.19178554530054723,-0.18193809671176947,0.44,1.3682691695939748,-6.048566588267581,0.13225984007000807,8.170133287676253e-62,False,False,0.05973183036931212,-0.07232188456192291,False,13,12,0.37285222739778595,-0.004370026971461494,0.0,False,7,4,1,AUTO:12;BANKING:1;FMCG:5;PHARMA:7,AUTO:+0.801;BANKING:-1.359;FMCG:-0.182;PHARMA:-0.363,-0.37664046911184057,0.24,0.28,0.48,8.24,0.8322211285966995,0.9116813247293943,0.4349004727827981,False,False,n<100; PF<=1.40; temporal_score<=0.70; positive_sectors<3; cost1.5x<=0; mean_R_ci95_lower<=0,0.22321428571428573,base_5_8_long|T0.80|D0.70|tf1.0|sl1.5|h60,0.12994350282485875,normal_vol_5_8_long|T0.75|D0.65|tf1.0|sl1.5|h60,False,
morning_5_8_long|T0.80|D0.70|tf0.6|sl1.0|h12,morning_5_8_long,"Long-only, morning, distance 5-8 ATR",0.8,0.7,5.0,8.0,0.6,1.0,12,25,25,25,0,0.19178554530054723,-0.18193809671176947,0.44,1.3682691695939748,-6.048566588267581,0.13225984007000807,8.170133287676253e-62,False,False,0.05973183036931212,-0.07232188456192291,False,13,12,0.37285222739778595,-0.004370026971461494,0.0,False,7,4,1,AUTO:12;BANKING:1;FMCG:5;PHARMA:7,AUTO:+0.801;BANKING:-1.359;FMCG:-0.182;PHARMA:-0.363,-0.37664046911184057,0.24,0.28,0.48,8.24,0.8322211285966995,0.9116813247293943,0.4349004727827981,False,False,n<100; PF<=1.40; temporal_score<=0.70; positive_sectors<3; cost1.5x<=0; mean_R_ci95_lower<=0,0.22321428571428573,base_5_8_long|T0.80|D0.70|tf1.0|sl1.5|h60,0.12994350282485875,normal_vol_5_8_long|T0.75|D0.65|tf1.0|sl1.5|h60,False,
base_5_8_long|T0.75|D0.70|tf1.0|sl2.0|h12,base_5_8_long,"Long-only, distance 5-8 ATR",0.75,0.7,5.0,8.0,1.0,2.0,12,228,228,228,0,0.19174745887036448,0.12625911947253643,0.5570175438596491,1.6541326487708512,-19.07912468455676,0.19393245095375614,0.0,False,False,0.10704251341502725,0.022337567959689976,True,138,90,0.1373310601791513,0.2751859368635581,0.28106021963677175,False,17,5,2,AUTO:101;BANKING:16;FMCG:16;IT:29;PHARMA:66,AUTO:+0.309;BANKING:-0.013;FMCG:-0.372;IT:-0.338;PHARMA:+0.431,0.06340576145894433,0.039473684210526314,0.15789473684210525,0.8026315789473685,11.030701754385966,0.798447859902521,0.8962804235796973,0.43166224331031894,False,False,temporal_score<=0.70; positive_sectors<3,1.0,base_5_8_long|T0.75|D0.70|tf1.0|sl1.5|h60,1.0,base_5_8_long|T0.75|D0.70|tf1.0|sl1.5|h60,False,
normal_vol_5_8_long|T0.75|D0.65|tf0.6|sl1.0|h12,normal_vol_5_8_long,"Long-only, normal volatility, distance 5-8 ATR",0.75,0.65,5.0,8.0,0.6,1.0,12,175,175,175,0,0.19147671145905942,-0.18180300965007104,0.4857142857142857,1.2797368559293973,-26.434365153253722,0.1089997097704179,0.0,False,False,0.03518825381075355,-0.12110020383755239,False,111,64,0.15363371658668576,0.25711065569083263,0.4595847308258345,False,15,5,3,AUTO:94;BANKING:12;FMCG:17;IT:15;PHARMA:37,AUTO:+0.104;BANKING:-0.158;FMCG:-0.349;IT:+0.461;PHARMA:+0.666,-0.06879541808236611,0.24,0.4057142857142857,0.35428571428571426,7.297142857142857,0.7950136874919577,0.8743947512157222,0.4325809330520666,False,False,PF<=1.40; temporal_score<=0.70; cost1.5x<=0; mean_R_ci95_lower<=0,1.0,normal_vol_5_8_long|T0.75|D0.65|tf1.0|sl1.5|h60,1.0,normal_vol_5_8_long|T0.75|D0.65|tf1.0|sl1.5|h60,False,
base_5_8_long|T0.75|D0.70|tf0.6|sl1.5|h12,base_5_8_long,"Long-only, distance 5-8 ATR",0.75,0.7,5.0,8.0,0.6,1.5,12,228,228,228,0,0.1896060866968105,0.19130936327024986,0.5789473684210527,1.452304039175152,-21.99705440776492,0.15735268833820432,0.0,False,False,0.08035637462778161,-0.02889333744124722,False,138,90,0.19819306731572373,0.17643938308114354,0.8852690623026546,True,17,5,2,AUTO:101;BANKING:16;FMCG:16;IT:29;PHARMA:66,AUTO:+0.372;BANKING:-0.010;FMCG:-0.380;IT:-0.423;PHARMA:+0.366,0.033195280127755106,0.2324561403508772,0.2631578947368421,0.5043859649122807,9.25438596491228,0.798447859902521,0.8962804235796973,0.43166224331031894,False,False,positive_sectors<3; cost1.5x<=0,1.0,base_5_8_long|T0.75|D0.70|tf1.0|sl1.5|h60,1.0,base_5_8_long|T0.75|D0.70|tf1.0|sl1.5|h60,False,
normal_vol_5_8_long|T0.80|D0.60|tf0.6|sl2.0|h12,normal_vol_5_8_long,"Long-only, normal volatility, distance 5-8 ATR",0.8,0.6,5.0,8.0,0.6,2.0,12,78,78,78,0,0.18741509110491367,0.14736159281601977,0.6282051282051282,1.6186328196712436,-11.797994840912693,0.1961320754638843,5.93038797014115e-174,False,False,0.09760108039664805,0.007787069688382428,True,53,25,0.11645540880972609,0.3378496175707113,0.0,False,12,5,2,AUTO:49;BANKING:3;FMCG:12;IT:2;PHARMA:12,AUTO:+0.233;BANKING:-0.489;FMCG:-0.526;IT:+0.448;PHARMA:+0.839,-0.024647812882762354,0.2564102564102564,0.15384615384615385,0.5897435897435898,10.333333333333334,0.832288311295855,0.8710064027192541,0.4318339848065668,False,False,n<100; temporal_score<=0.70; positive_sectors<3; mean_R_ci95_lower<=0,0.6141732283464567,base_5_8_long|T0.80|D0.65|tf1.0|sl2.0|h60,0.44571428571428573,normal_vol_5_8_long|T0.75|D0.65|tf1.0|sl1.5|h60,False,
normal_vol_5_8_long|T0.80|D0.65|tf0.6|sl2.0|h12,normal_vol_5_8_long,"Long-only, normal volatility, distance 5-8 ATR",0.8,0.65,5.0,8.0,0.6,2.0,12,78,78,78,0,0.18741509110491367,0.14736159281601977,0.6282051282051282,1.6186328196712436,-11.797994840912693,0.1961320754638843,5.93038797014115e-174,False,False,0.09760108039664805,0.007787069688382428,True,53,25,0.11645540880972609,0.3378496175707113,0.0,False,12,5,2,AUTO:49;BANKING:3;FMCG:12;IT:2;PHARMA:12,AUTO:+0.233;BANKING:-0.489;FMCG:-0.526;IT:+0.448;PHARMA:+0.839,-0.024647812882762354,0.2564102564102564,0.15384615384615385,0.5897435897435898,10.333333333333334,0.832288311295855,0.8710064027192541,0.4318339848065668,False,False,n<100; temporal_score<=0.70; positive_sectors<3; mean_R_ci95_lower<=0,0.6141732283464567,base_5_8_long|T0.80|D0.65|tf1.0|sl2.0|h60,0.44571428571428573,normal_vol_5_8_long|T0.75|D0.65|tf1.0|sl1.5|h60,False,
