label,n,win_rate,mean_r,median_r,profit_factor,max_drawdown_r,trade_sharpe,dsr,scenario,path_id,validation_blocks,n_blocks,validation_blocks_per_path,path_pass
long_ex_banking_it,87,0.3563218390804598,-0.014789063325303591,-0.5441802915164327,0.9742463425632263,-27.865931066290504,-0.011404033248910279,1.6442669958094818e-185,long_ex_banking_it,1,0+1,10,2,False
long_ex_banking_it,88,0.5681818181818182,0.22331372968492405,0.5478377543988612,1.452321795340905,-27.865931066290504,0.16280176339713615,8.109312075111292e-176,long_ex_banking_it,2,0+2,10,2,True
long_ex_banking_it,87,0.6781609195402298,0.4806057010214272,0.6165405992891324,2.2499296455678515,-27.865931066290504,0.36383489741802283,6.351814926760661e-134,long_ex_banking_it,3,0+3,10,2,True
long_ex_banking_it,87,0.4482758620689655,0.1100719269361036,-0.3649068075202068,1.2089169443991916,-27.865931066290504,0.08320653936196377,4.708269549011846e-181,long_ex_banking_it,4,0+4,10,2,True
long_ex_banking_it,88,0.38636363636363635,-0.20027773128326815,-0.7279327760784484,0.7004320933804518,-34.325835555420475,-0.15988582443755292,1.5007673761963845e-189,long_ex_banking_it,5,0+5,10,2,False
long_ex_banking_it,87,0.47126436781609193,-0.0354819092806373,-0.3884979301162753,0.9415226269069421,-27.865931066290504,-0.02678919838892756,1.1611997972090397e-186,long_ex_banking_it,6,0+6,10,2,False
long_ex_banking_it,88,0.4090909090909091,-0.19753913188254504,-1.1405280094070682,0.7221385211114354,-27.89134440151973,-0.1504925601017869,2.299695514672497e-185,long_ex_banking_it,7,0+7,10,2,False
long_ex_banking_it,87,0.5632183908045977,0.21792474697107797,0.43717984259147746,1.437349474783257,-27.865931066290504,0.16152157503301598,5.044444405619007e-171,long_ex_banking_it,8,0+8,10,2,True
long_ex_banking_it,87,0.6206896551724138,0.6453424513442506,1.0696347583993053,2.5530599054584173,-27.865931066290504,0.4204244130200204,1.221337499013118e-133,long_ex_banking_it,9,0+9,10,2,True
long_ex_banking_it,87,0.5172413793103449,0.3598031619723195,0.42831664283056914,2.0280031148221536,-18.356025645158777,0.2908633079429535,1.1031434349757189e-173,long_ex_banking_it,10,1+2,10,2,True
long_ex_banking_it,86,0.627906976744186,0.621673986839333,0.746018816808793,3.613590448679042,-16.712877376701286,0.5423116298547551,1.9960857851460018e-128,long_ex_banking_it,11,1+3,10,2,True
long_ex_banking_it,86,0.3953488372093023,0.2468316804972034,-0.3692478701563606,1.6463583497592225,-16.712877376701286,0.20679962481788564,1.355952024902235e-179,long_ex_banking_it,12,1+4,10,2,True
long_ex_banking_it,87,0.3333333333333333,-0.06865716636332315,-0.5437477123651688,0.869686552136753,-37.10704457941024,-0.05952580870405782,4.1973353455267015e-185,long_ex_banking_it,13,1+5,10,2,False
long_ex_banking_it,86,0.4186046511627907,0.09958535781282597,-0.4678399771670399,1.215225094935098,-26.90269915156606,0.08215229980697993,5.873941410097137e-182,long_ex_banking_it,14,1+6,10,2,True
long_ex_banking_it,87,0.3563218390804598,-0.06588708880856876,-0.5450587920369101,0.8843518124468068,-30.6725534255095,-0.05406268771927044,1.0983121106607963e-183,long_ex_banking_it,15,1+7,10,2,False
