distance_bucket,n,base_rate_to_pool,mean_p_to_pool,auc
2-5 ATR,131078,0.41281527029707504,0.4099187558355076,0.7080436643037343
3-8 ATR,128751,0.43052869492275786,0.4065327629887081,0.7014663747234229
5-10 ATR,96233,0.43895545187201895,0.3989845914174357,0.6855810395956944
